Flight_ID,Date,Month,Day_of_Week,Departure_City,Arrival_City,Route_Type,Aircraft_Type,Flight_Duration_Minutes,Passengers,Seat_Capacity,Load_Factor_%,Ticket_Price_USD,Delay_Minutes,Delay_Category,On_Time_Status,Weather_Condition,Fuel_Consumption,CO2_Emissions,Customer_Rating,Customer_Feedback
PK2026_0011,2026-03-24,March,Tuesday,Dubai,Islamabad,International,Airbus A320,191.0,177,180,98.33,862.0,196,Severe,Delayed,Storm,4444l,11110.0kg,3.0,Remarkably steady and calm flight
PK2026_0012,2026-02-13,February,Friday,Lahore,Kuala Lumpur,International,Airbus A320,190.0,117,180,65.0,800.0,10,Minor,On Time,Fog,13855l,34637.5kg,4.8,A very pleasant experience
PK2026_0013,2026-02-27,February,Friday,Jeddah,Islamabad,International,Boeing 737,280.0,128,160,80.0,899.0,36,Moderate,Delayed,,17847l,44617.5kg,3.1,Basic flight with no frills
PK2026_0014,2026-11-23,November,Monday,Doha,London,International,Boeing 737,366.0,102,160,63.75,548.0,103,Moderate,Delayed,Storm,14834l,37085.0kg,,Late departure but the seats were great
PK2026_0015,2026-12-08,December,Tuesday,Doha,Karachi,International,Boeing 737,81.0,90,160,56.25,1420.0,95,Moderate,Delayed,Storm,7107l,17767.5kg,5.0,The delay was annoying but the cabin was comfy
PK2026_0016,2026-08-16,August,Sunday,Karachi,Lahore,Domestic,Airbus A320,347.0,95,180,52.78,1214.0,126,Severe,Delayed,,12669l,31672.5kg,3.2,Satisfied with the journey
PK2026_0017,2026-09-06,September,Sunday,Kuala Lumpur,Karachi,International,ATR 72,326.0,68,70,97.14,271.0,180,Severe,Delayed,Fog,19892l,49730.0kg,5.0,Unsatisfactory service levels
PK2026_0018,2026-11-20,November,Friday,Doha,Lahore,International,Boeing 737,253.0,159,160,99.38,1190.0,6,Minor,On Time,Clear,12936l,32340.0kg,4.3,Everything went well enough
PK2026_0019,2026-10-10,October,Saturday,Karachi,Islamabad,Domestic,Boeing 777,261.0,255,350,72.86,344.0,157,Severe,Delayed,Fog,12766l,31915.0kg,3.1,Long wait but a pleasant cabin
PK2026_0020,2026-04-26,April,Sunday,Kuala Lumpur,Lahore,International,Boeing 777,386.0,306,350,87.43,1308.0,220,Severe,Delayed,Fog,13419l,33547.5kg,4.4,Incredibly easy and smooth ride
PK2026_0021,2026-05-18,May,Monday,Karachi,Jeddah,International,Boeing 737,348.0,94,160,58.75,965.0,123,Severe,Delayed,Clear,3190l,7975.0kg,4.4,A solid and positive flight
PK2026_0022,2026-12-18,December,Friday,Kuala Lumpur,London,International,Airbus A320,270.0,113,180,62.78,669.0,126,Severe,Delayed,Clear,18990l,47475.0kg,3.3,"No turbulence at all, very stable"
PK2026_0023,2026-09-23,September,Wednesday,Lahore,Karachi,Domestic,Boeing 777,220.0,286,350,81.71,,151,Severe,Delayed,,6962l,17405.0kg,,The staff was quite unhelpful
PK2026_0024,2026-11-11,November,Wednesday,Doha,Kuala Lumpur,International,Airbus A320,,172,180,95.56,654.0,42,Moderate,Delayed,Rain,9877l,24692.5kg,3.7,Below average attention
PK2026_0025,2026-07-30,July,Thursday,Islamabad,London,International,Airbus A320,,141,180,78.33,461.0,213,Severe,Delayed,Fog,19759l,49397.5kg,3.7,"Typical flight, quite plain"
PK2026_0026,2026-10-03,October,Saturday,Dubai,Doha,International,Boeing 737,,120,160,75.0,516.0,225,Severe,Delayed,Storm,6207l,15517.5kg,3.4,Elite service provided by everyone
PK2026_0027,2026-01-04,January,Sunday,Dubai,Karachi,International,ATR 72,470.0,45,70,64.29,210.0,23,Minor,Delayed,Clear,10155l,25387.5kg,,Substandard care throughout
PK2026_0028,2026-08-03,August,Monday,Jeddah,Islamabad,International,Boeing 777,127.0,326,350,93.14,1176.0,75,Moderate,Delayed,Storm,16290l,40725.0kg,5.0,Postponed but the comfort was good
PK2026_0029,2026-09-24,September,Thursday,Doha,Kuala Lumpur,International,ATR 72,132.0,59,70,84.29,713.0,185,Severe,Delayed,,19218l,48045.0kg,,Terrible service from the team
PK2026_0030,2026-01-02,January,Friday,Dubai,Kuala Lumpur,International,Airbus A320,173.0,175,180,97.22,665.0,77,Moderate,Delayed,,16747l,41867.5kg,4.8,A very peaceful and quiet trip
PK2026_0031,2026-08-23,August,Sunday,Jeddah,Islamabad,International,Boeing 777,430.0,347,350,99.14,972.0,164,Severe,Delayed,,16095l,40237.5kg,3.4,It met my basic expectations
PK2026_0032,2026-09-03,September,Thursday,London,Jeddah,International,Airbus A320,222.0,160,180,88.89,1160.0,7,Minor,On Time,Fog,13512l,33780.0kg,3.8,Perfectly calm transit
PK2026_0033,2026-04-05,April,Sunday,Dubai,Karachi,International,ATR 72,411.0,53,70,75.71,878.0,197,Severe,Delayed,,17223l,43057.5kg,3.6,Impeccable attention to detail
PK2026_0034,2026-02-21,February,Saturday,London,Islamabad,International,Airbus A320,466.0,163,180,90.56,161.0,231,Severe,Delayed,Fog,12708l,31770.0kg,,Behind time but comfortable seating
PK2026_0035,2026-01-11,January,Sunday,Karachi,Lahore,Domestic,Boeing 777,170.0,308,350,88.0,1451.0,200,Severe,Delayed,Rain,10882l,27205.0kg,4.1,Happy with how things went
PK2026_0036,2026-11-11,November,Wednesday,Karachi,Kuala Lumpur,International,Boeing 737,478.0,156,160,97.5,1235.0,102,Moderate,Delayed,Rain,13405l,33512.5kg,4.3,A good and decent trip
PK2026_0037,2026-05-23,May,Saturday,Dubai,Lahore,International,Boeing 777,333.0,286,350,81.71,397.0,72,Moderate,Delayed,Storm,10105l,25262.5kg,2.6,Frustrating experience with the staff
PK2026_0038,2026-08-31,August,Monday,Lahore,Islamabad,Domestic,Boeing 777,309.0,235,350,67.14,314.0,139,Severe,Delayed,Storm,17259l,43147.5kg,2.8,Quite a nice experience
PK2026_0039,2026-05-27,May,Wednesday,Kuala Lumpur,London,International,Boeing 737,265.0,99,160,61.88,1388.0,114,Moderate,Delayed,,13624l,34060.0kg,2.8,Very stable air time
PK2026_0040,2026-02-03,February,Tuesday,Kuala Lumpur,London,International,Boeing 777,272.0,311,350,88.86,1442.0,67,Moderate,Delayed,,15011l,37527.5kg,3.5,I liked the overall quality
PK2026_0041,2026-12-24,December,Thursday,London,Doha,International,Boeing 777,129.0,332,350,94.86,135.0,94,Moderate,Delayed,Clear,14965l,37412.5kg,4.2,Five-star treatment
PK2026_0042,2026-11-16,November,Monday,Dubai,Kuala Lumpur,International,ATR 72,126.0,64,70,91.43,796.0,148,Severe,Delayed,,8312l,20780.0kg,4.0,Brilliant service from start to end
PK2026_0043,2026-03-22,March,Sunday,Jeddah,Islamabad,International,Boeing 737,473.0,96,160,60.0,760.0,223,Severe,Delayed,,11594l,28985.0kg,3.8,A positive and smooth flight
PK2026_0044,2026-01-01,January,Thursday,Dubai,Kuala Lumpur,International,ATR 72,342.0,45,70,64.29,335.0,51,Moderate,Delayed,Rain,15854l,39635.0kg,4.1,Effortless and steady journey
PK2026_0045,2026-03-26,March,Thursday,Doha,Dubai,International,Airbus A320,237.0,148,180,82.22,1118.0,15,Minor,On Time,Storm,11601l,29002.5kg,4.0,Delayed arrival but the amenities were nice
PK2026_0046,2026-01-22,January,Thursday,Karachi,Islamabad,Domestic,Boeing 777,378.0,195,350,55.71,1269.0,29,Minor,Delayed,Rain,19985l,49962.5kg,2.6,"Fair experience, nothing memorable"
PK2026_0047,2026-05-02,May,Saturday,Doha,Lahore,International,Airbus A320,411.0,107,180,59.44,853.0,69,Moderate,Delayed,Fog,17209l,43022.5kg,,Fantastic crew behavior
PK2026_0048,2026-07-05,July,Sunday,Islamabad,London,International,Boeing 777,433.0,290,350,82.86,638.0,13,Minor,On Time,Clear,19154l,47885.0kg,2.8,Very poor assistance
PK2026_0049,2026-05-25,May,Monday,Karachi,Doha,International,Boeing 777,224.0,271,350,77.43,1301.0,89,Moderate,Delayed,Storm,4276l,10690.0kg,3.4,I was not happy with the service
PK2026_0050,2026-08-23,August,Sunday,Lahore,Jeddah,International,Boeing 777,366.0,234,350,66.86,817.0,113,Moderate,Delayed,,16271l,40677.5kg,3.5,Lacking professional care
PK2026_0051,2026-05-24,May,Sunday,Doha,Kuala Lumpur,International,ATR 72,393.0,59,70,84.29,1056.0,86,Moderate,Delayed,Fog,4175l,10437.5kg,3.7,Exceptional service from the crew
PK2026_0052,2026-11-10,November,Tuesday,Dubai,London,International,Boeing 737,221.0,99,160,61.88,1498.0,114,Moderate,Delayed,Storm,15688l,39220.0kg,3.3,Stellar staff performance
PK2026_0053,2026-05-03,May,Sunday,Islamabad,Lahore,Domestic,ATR 72,435.0,55,70,78.57,983.0,117,Moderate,Delayed,Storm,5332l,13330.0kg,3.0,A remarkably smooth trip
PK2026_0054,2026-03-14,March,Saturday,London,Doha,International,Boeing 777,354.0,258,350,73.71,717.0,71,Moderate,Delayed,Clear,9280l,23200.0kg,2.7,Amazing attention from the team
PK2026_0055,2026-04-14,April,Tuesday,Dubai,Jeddah,International,Airbus A320,480.0,115,180,63.89,907.0,193,Severe,Delayed,,14154l,35385.0kg,2.6,The wait was long but I felt relaxed
PK2026_0056,2026-10-10,October,Saturday,Dubai,Lahore,International,Boeing 737,428.0,96,160,60.0,970.0,127,Severe,Delayed,Storm,18417l,46042.5kg,3.6,Delayed but the legroom was excellent
PK2026_0057,2026-02-27,February,Friday,Karachi,Jeddah,International,Boeing 777,124.0,282,350,80.57,1407.0,154,Severe,Delayed,Fog,15696l,39240.0kg,,Disappointing service quality
PK2026_0058,2026-12-12,December,Saturday,Jeddah,Kuala Lumpur,International,ATR 72,476.0,55,70,78.57,532.0,10,Minor,On Time,Rain,15660l,39150.0kg,4.0,Really good flight
PK2026_0059,2026-06-01,June,Monday,Kuala Lumpur,Lahore,International,Boeing 737,255.0,89,160,55.62,136.0,200,Severe,Delayed,Clear,8002l,20005.0kg,4.2,Rude and slow service
PK2026_0060,2026-03-02,March,Monday,Lahore,Doha,International,Boeing 737,151.0,96,160,60.0,232.0,144,Severe,Delayed,,10223l,25557.5kg,4.1,Middle-of-the-road experience
PK2026_0061,2026-09-20,September,Sunday,London,Islamabad,International,ATR 72,465.0,59,70,84.29,1212.0,18,Minor,Delayed,Storm,6385l,15962.5kg,3.6,Poorly managed service
PK2026_0062,2026-02-05,February,Thursday,Kuala Lumpur,Lahore,International,Boeing 777,437.0,178,350,50.86,905.0,9,Minor,On Time,,18387l,45967.5kg,3.8,Just a normal flight
PK2026_0063,2026-02-17,February,Tuesday,Islamabad,London,International,Boeing 737,344.0,154,160,96.25,177.0,230,Severe,Delayed,Clear,16043l,40107.5kg,,Held up but the seats were plush
PK2026_0064,2026-12-04,December,Friday,Doha,Islamabad,International,ATR 72,90.0,58,70,82.86,148.0,228,Severe,Delayed,,3116l,7790.0kg,4.6,Neither good nor bad
PK2026_0065,2026-04-27,April,Monday,Karachi,Dubai,International,Airbus A320,388.0,118,180,65.56,901.0,188,Severe,Delayed,Fog,13636l,34090.0kg,4.2,Gliding along without any issues
PK2026_0066,2026-09-22,September,Tuesday,Kuala Lumpur,Islamabad,International,Boeing 777,119.0,182,350,52.0,618.0,46,Moderate,Delayed,Clear,18017l,45042.5kg,3.2,Decent quality journey
PK2026_0067,2026-08-21,August,Friday,Doha,Islamabad,International,Boeing 777,112.0,179,350,51.14,619.0,54,Moderate,Delayed,Rain,15522l,38805.0kg,3.2,"Average trip, nothing to report"
PK2026_0068,2026-02-26,February,Thursday,Lahore,Doha,International,Boeing 777,85.0,225,350,64.29,959.0,130,Severe,Delayed,Clear,14772l,36930.0kg,3.8,Horrible customer care
PK2026_0069,2026-06-21,June,Sunday,London,Dubai,International,Boeing 777,76.0,278,350,79.43,829.0,189,Severe,Delayed,Clear,12013l,30032.5kg,4.2,An unmemorable flight
PK2026_0070,2026-02-03,February,Tuesday,London,Jeddah,International,Boeing 737,112.0,83,160,51.88,741.0,50,Moderate,Delayed,Storm,19635l,49087.5kg,,I had a good time
PK2026_0071,2026-03-03,March,Tuesday,Karachi,Dubai,International,Boeing 777,440.0,324,350,92.57,375.0,52,Moderate,Delayed,Clear,8165l,20412.5kg,3.4,Satisfactory experience
PK2026_0072,2026-01-09,January,Friday,Lahore,Dubai,International,Airbus A320,473.0,166,180,92.22,366.0,5,Minor,On Time,Clear,11939l,29847.5kg,4.3,Pleasant journey overall
PK2026_0073,2026-07-27,July,Monday,Jeddah,Kuala Lumpur,International,Boeing 777,419.0,222,350,63.43,803.0,18,Minor,Delayed,Storm,19865l,49662.5kg,4.8,Superb service levels
PK2026_0074,2026-04-02,April,Thursday,Kuala Lumpur,Doha,International,ATR 72,263.0,66,70,94.29,1229.0,160,Severe,Delayed,Clear,19524l,48810.0kg,3.3,The staff was wonderful
PK2026_0075,2026-03-03,March,Tuesday,Karachi,Lahore,Domestic,Airbus A320,440.0,100,180,55.56,1395.0,51,Moderate,Delayed,Clear,10934l,27335.0kg,3.6,Very bad service experience
PK2026_0076,2026-08-08,August,Saturday,Jeddah,Doha,International,Boeing 777,190.0,254,350,72.57,979.0,133,Severe,Delayed,Fog,5987l,14967.5kg,4.3,Subpar attention from the crew
PK2026_0077,2026-10-03,October,Saturday,Jeddah,Lahore,International,Boeing 777,302.0,280,350,80.0,387.0,67,Moderate,Delayed,,12618l,31545.0kg,4.0,Quiet and easy flight
PK2026_0078,2026-04-27,April,Monday,Jeddah,Islamabad,International,Boeing 777,,236,350,67.43,666.0,46,Moderate,Delayed,Rain,19704l,49260.0kg,3.3,A regular flight
PK2026_0079,2026-10-03,October,Saturday,Lahore,Doha,International,Airbus A320,125.0,105,180,58.33,593.0,171,Severe,Delayed,,7255l,18137.5kg,3.7,Slightly late but very comfortable
PK2026_0080,2026-09-23,September,Wednesday,Jeddah,Dubai,International,Boeing 777,114.0,243,350,69.43,512.0,186,Severe,Delayed,Rain,9724l,24310.0kg,4.6,Ordinary trip
PK2026_0081,2026-01-22,January,Thursday,London,Doha,International,Boeing 737,114.0,129,160,80.62,1211.0,45,Moderate,Delayed,Rain,19042l,47605.0kg,3.9,A successful and good flight
PK2026_0082,2026-06-24,June,Wednesday,Jeddah,Kuala Lumpur,International,Boeing 737,312.0,148,160,92.5,180.0,183,Severe,Delayed,Storm,12571l,31427.5kg,4.5,Magnificent service
PK2026_0083,2026-03-17,March,Tuesday,Jeddah,Doha,International,Airbus A320,279.0,177,180,98.33,755.0,172,Severe,Delayed,Rain,13028l,32570.0kg,2.8,Standard service quality
PK2026_0084,2026-02-28,February,Saturday,Lahore,Dubai,International,ATR 72,283.0,38,70,54.29,1496.0,49,Moderate,Delayed,Fog,18081l,45202.5kg,3.9,Very disappointing staff
PK2026_0085,2026-09-20,September,Sunday,Jeddah,Dubai,International,ATR 72,177.0,40,70,57.14,724.0,19,Minor,Delayed,Rain,17821l,44552.5kg,4.3,Very consistent and smooth
PK2026_0086,2026-04-29,April,Wednesday,Dubai,Karachi,International,Airbus A320,94.0,92,180,51.11,667.0,9,Minor,On Time,,6636l,16590.0kg,,The service was lacking
PK2026_0087,2026-08-16,August,Sunday,Islamabad,Jeddah,International,ATR 72,458.0,55,70,78.57,185.0,59,Moderate,Delayed,Fog,4141l,10352.5kg,,"Met my expectations, no more"
PK2026_0088,2026-10-03,October,Saturday,Islamabad,London,International,Boeing 777,402.0,306,350,87.43,970.0,230,Severe,Delayed,,3986l,9965.0kg,3.3,Badly handled service
PK2026_0089,2026-12-24,December,Thursday,Lahore,Islamabad,Domestic,Airbus A320,129.0,125,180,69.44,1369.0,130,Severe,Delayed,Storm,8531l,21327.5kg,3.7,Tardy but the lounge was good
PK2026_0090,2026-05-26,May,Tuesday,Lahore,London,International,Boeing 737,397.0,149,160,93.12,388.0,51,Moderate,Delayed,,5857l,14642.5kg,3.0,Behind schedule but pleasant cabin
PK2026_0091,2026-08-03,August,Monday,Doha,London,International,Airbus A320,332.0,178,180,98.89,1213.0,57,Moderate,Delayed,Storm,5041l,12602.5kg,3.8,Very fluid and easy journey
PK2026_0092,2026-11-08,November,Sunday,Dubai,Islamabad,International,Boeing 737,315.0,133,160,83.12,291.0,117,Moderate,Delayed,Clear,18966l,47415.0kg,3.0,No bumps during the whole trip
PK2026_0093,2026-09-16,September,Wednesday,Dubai,Doha,International,Boeing 737,383.0,105,160,65.62,1358.0,153,Severe,Delayed,Storm,18388l,45970.0kg,3.2,Terrible attention to passengers
PK2026_0094,2026-09-16,September,Wednesday,Doha,London,International,Boeing 737,449.0,142,160,88.75,902.0,41,Moderate,Delayed,Clear,6738l,16845.0kg,2.6,Unprofessional service
PK2026_0095,2026-07-17,July,Friday,London,Islamabad,International,Boeing 777,368.0,191,350,54.57,405.0,71,Moderate,Delayed,Clear,18117l,45292.5kg,4.4,The delay was long but the bed was comfy
PK2026_0096,2026-09-29,September,Tuesday,Doha,Jeddah,International,ATR 72,268.0,67,70,95.71,1244.0,182,Severe,Delayed,Clear,4835l,12087.5kg,4.3,An okay experience
PK2026_0097,2026-06-04,June,Thursday,Jeddah,Dubai,International,Boeing 777,351.0,187,350,53.43,391.0,170,Severe,Delayed,,7737l,19342.5kg,3.9,Late but the flight was relaxing
PK2026_0098,2026-12-13,December,Sunday,London,Islamabad,International,Airbus A320,97.0,172,180,95.56,1493.0,180,Severe,Delayed,,19606l,49015.0kg,3.0,World-class service
PK2026_0099,2026-06-01,June,Monday,Dubai,Lahore,International,Boeing 737,97.0,127,160,79.38,291.0,95,Moderate,Delayed,Rain,5169l,12922.5kg,,Very slow assistance
PK2026_0100,2026-11-27,November,Friday,London,Islamabad,International,ATR 72,422.0,45,70,64.29,122.0,172,Severe,Delayed,Clear,16514l,41285.0kg,3.8,Postponed but quite cozy
PK2026_0101,2026-10-09,October,Friday,Jeddah,Karachi,International,Boeing 737,160.0,122,160,76.25,686.0,235,Severe,Delayed,,16225l,40562.5kg,4.3,Delayed but decent comfort
PK2026_0102,2026-07-18,July,Saturday,Dubai,London,International,Boeing 737,460.0,156,160,97.5,1283.0,148,Severe,Delayed,Clear,6830l,17075.0kg,2.9,The staff was not attentive
PK2026_0103,2026-12-11,December,Friday,Lahore,Dubai,International,Airbus A320,77.0,168,180,93.33,705.0,89,Moderate,Delayed,Rain,7828l,19570.0kg,3.1,Wait time was long but seats were soft
PK2026_0104,2026-03-06,March,Friday,Doha,Karachi,International,Airbus A320,324.0,172,180,95.56,601.0,94,Moderate,Delayed,Fog,17024l,42560.0kg,3.8,Extremely smooth travel
PK2026_0105,2026-09-04,September,Friday,Kuala Lumpur,Islamabad,International,Boeing 777,,300,350,85.71,875.0,208,Severe,Delayed,,9027l,22567.5kg,4.5,A nice trip
PK2026_0106,2026-03-31,March,Tuesday,Karachi,Dubai,International,Boeing 737,252.0,155,160,96.88,632.0,17,Minor,Delayed,Rain,13163l,32907.5kg,3.5,Positive experience
PK2026_0107,2026-02-22,February,Sunday,Lahore,Karachi,Domestic,Airbus A320,257.0,123,180,68.33,1469.0,172,Severe,Delayed,,8103l,20257.5kg,4.7,Calm and steady flight
PK2026_0108,2026-12-30,December,Wednesday,Jeddah,Islamabad,International,Boeing 737,381.0,144,160,90.0,1422.0,130,Severe,Delayed,Clear,15839l,39597.5kg,2.5,Seamless journey
PK2026_0109,2026-11-02,November,Monday,Karachi,Lahore,Domestic,Airbus A320,,171,180,95.0,1259.0,9,Minor,On Time,,8442l,21105.0kg,4.6,Typical trip
PK2026_0110,2026-11-29,November,Sunday,Lahore,Dubai,International,Airbus A320,397.0,124,180,68.89,1059.0,101,Moderate,Delayed,Storm,7866l,19665.0kg,4.3,Perfectly smooth
PK2026_0111,2026-01-30,January,Friday,Islamabad,Kuala Lumpur,International,Boeing 737,222.0,154,160,96.25,1389.0,7,Minor,On Time,,19808l,49520.0kg,4.8,Poor help from the staff
PK2026_0112,2026-09-08,September,Tuesday,London,Karachi,International,Boeing 737,235.0,139,160,86.88,1355.0,123,Severe,Delayed,Clear,16097l,40242.5kg,4.6,Behind time but relaxed
PK2026_0113,2026-04-25,April,Saturday,Islamabad,Kuala Lumpur,International,ATR 72,96.0,42,70,60.0,215.0,106,Moderate,Delayed,,6773l,16932.5kg,,Perfectly executed service
PK2026_0114,2026-03-30,March,Monday,Islamabad,Jeddah,International,Boeing 777,229.0,285,350,81.43,209.0,107,Moderate,Delayed,Clear,15430l,38575.0kg,3.0,"As expected, an average trip"
PK2026_0115,2026-04-17,April,Friday,Doha,Lahore,International,Airbus A320,88.0,110,180,61.11,413.0,9,Minor,On Time,Clear,10156l,25390.0kg,4.9,I enjoyed the experience
PK2026_0116,2026-01-11,January,Sunday,Lahore,Islamabad,Domestic,ATR 72,412.0,49,70,70.0,1258.0,140,Severe,Delayed,Clear,8197l,20492.5kg,4.5,Terrible customer support
PK2026_0117,2026-05-08,May,Friday,Kuala Lumpur,Doha,International,Boeing 777,279.0,207,350,59.14,1043.0,34,Moderate,Delayed,Storm,12680l,31700.0kg,4.0,Bad service quality
PK2026_0118,2026-08-08,August,Saturday,Dubai,Kuala Lumpur,International,Airbus A320,188.0,164,180,91.11,138.0,144,Severe,Delayed,,16064l,40160.0kg,4.4,Good flight overall
PK2026_0119,2026-07-09,July,Thursday,Jeddah,Doha,International,ATR 72,350.0,41,70,58.57,388.0,181,Severe,Delayed,Storm,7560l,18900.0kg,3.6,The service was exemplary
PK2026_0120,2026-06-18,June,Thursday,Lahore,Jeddah,International,Boeing 737,98.0,100,160,62.5,1223.0,37,Moderate,Delayed,Fog,11616l,29040.0kg,2.8,Unsatisfactory care
PK2026_0121,2026-04-24,April,Friday,Doha,Jeddah,International,Boeing 737,103.0,146,160,91.25,807.0,214,Severe,Delayed,,15450l,38625.0kg,4.4,A fine journey
PK2026_0122,2026-05-25,May,Monday,Islamabad,London,International,Boeing 737,282.0,90,160,56.25,1130.0,173,Severe,Delayed,Rain,4235l,10587.5kg,,Late arrival but comfy seats
PK2026_0123,2026-03-19,March,Thursday,Jeddah,London,International,Boeing 777,416.0,346,350,98.86,762.0,85,Moderate,Delayed,Rain,8977l,22442.5kg,2.9,Everything was good
PK2026_0124,2026-11-14,November,Saturday,Karachi,Lahore,Domestic,Boeing 737,320.0,145,160,90.62,739.0,174,Severe,Delayed,Clear,4140l,10350.0kg,2.6,Poor staff interaction
PK2026_0125,2026-05-08,May,Friday,Jeddah,London,International,ATR 72,195.0,61,70,87.14,1412.0,100,Moderate,Delayed,Fog,14965l,37412.5kg,2.9,Well-managed flight
PK2026_0126,2026-07-05,July,Sunday,Islamabad,Lahore,Domestic,Boeing 737,209.0,114,160,71.25,956.0,209,Severe,Delayed,Clear,10246l,25615.0kg,3.0,The crew was rude
PK2026_0127,2026-07-26,July,Sunday,Dubai,Karachi,International,ATR 72,479.0,53,70,75.71,1173.0,116,Moderate,Delayed,,10889l,27222.5kg,4.5,Substandard assistance
PK2026_0128,2026-02-16,February,Monday,Islamabad,Karachi,Domestic,ATR 72,280.0,54,70,77.14,491.0,106,Moderate,Delayed,Storm,16322l,40805.0kg,,Wonderful service from everyone
PK2026_0129,2026-12-04,December,Friday,Kuala Lumpur,Doha,International,Airbus A320,143.0,140,180,77.78,788.0,7,Minor,On Time,Storm,7427l,18567.5kg,4.1,"Not good, not bad"
PK2026_0130,2026-12-11,December,Friday,Doha,Dubai,International,Airbus A320,224.0,152,180,84.44,820.0,193,Severe,Delayed,Rain,11317l,28292.5kg,3.6,A bit late but very plush
PK2026_0131,2026-03-25,March,Wednesday,Jeddah,Doha,International,Airbus A320,317.0,150,180,83.33,1070.0,83,Moderate,Delayed,Storm,4053l,10132.5kg,,Behind schedule but no complaints on comfort
PK2026_0132,2026-08-18,August,Tuesday,Islamabad,Jeddah,International,ATR 72,87.0,37,70,52.86,1383.0,18,Minor,Delayed,,9930l,24825.0kg,,Delayed but very cozy
PK2026_0133,2026-09-23,September,Wednesday,Islamabad,Doha,International,Airbus A320,318.0,174,180,96.67,400.0,10,Minor,On Time,Clear,5191l,12977.5kg,3.4,Very calm flight
PK2026_0134,2026-09-05,September,Saturday,Kuala Lumpur,Jeddah,International,Airbus A320,188.0,147,180,81.67,1250.0,191,Severe,Delayed,Clear,4987l,12467.5kg,,Quiet and easy ride
PK2026_0135,2026-11-09,November,Monday,Islamabad,London,International,Boeing 777,473.0,316,350,90.29,835.0,237,Severe,Delayed,Clear,3502l,8755.0kg,3.4,Mediocre flight
PK2026_0136,2026-11-05,November,Thursday,Karachi,Jeddah,International,Boeing 737,246.0,99,160,61.88,455.0,134,Severe,Delayed,Rain,8070l,20175.0kg,4.3,Very bad service
PK2026_0137,2026-10-23,October,Friday,Karachi,Islamabad,Domestic,Airbus A320,280.0,148,180,82.22,685.0,221,Severe,Delayed,,3138l,7845.0kg,,Quite a good time
PK2026_0138,2026-11-04,November,Wednesday,Karachi,Islamabad,Domestic,ATR 72,,40,70,57.14,284.0,115,Moderate,Delayed,Storm,9890l,24725.0kg,3.5,Nothing special to mention
PK2026_0139,2026-06-21,June,Sunday,Jeddah,Dubai,International,ATR 72,314.0,47,70,67.14,998.0,157,Severe,Delayed,Storm,15363l,38407.5kg,,A nice and easy trip
PK2026_0140,2026-08-12,August,Wednesday,Jeddah,Doha,International,ATR 72,447.0,67,70,95.71,1363.0,143,Severe,Delayed,Fog,19671l,49177.5kg,3.0,Brilliant staff
PK2026_0141,2026-01-12,January,Monday,Karachi,Lahore,Domestic,Airbus A320,211.0,158,180,87.78,128.0,25,Minor,Delayed,Rain,11038l,27595.0kg,3.2,Exceptional treatment
